"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","assist","type_value_Involved","type_value_Player position","type_value_Jersey number","type_value_Resume","type_value_Team kit","type_value_Team formation","type_value_Captain","type_value_Team player formation","type_value_Direction of Play","type_value_Length","type_value_Pass End Y","type_value_Pass End X","type_value_Zone","type_value_Kick Off","type_value_Angle","type_value_Blocked
Pass","type_value_Offensive","type_value_Chipped","type_value_Opposite related event ID","type_value_Opposite
related
event ID","type_value_Defensive","type_value_Throw-in","type_value_Long ball","type_value_Head pass","type_value_Cross","type_value_Lay-off","type_value_Assist","type_value_Intentional
assist","type_value_Related event ID","type_value_GK Y Coordinate","type_value_Assisted","type_value_Goal mouth y coordinate","type_value_First Touch","type_value_GK X blocked","type_value_Left footed","type_value_Goal mouth z coordinate","type_value_Regular play","type_value_Box-left","type_value_Left","type_value_Not visible","type_value_Low","type_value_Goal Kick","type_value_Out of play","type_value_Head","type_value_Right footed","type_value_Blocked y co-ordinate","type_value_Low centre","type_value_Blocked","type_value_Blocked x co-ordinate","type_value_Box-centre","type_value_Def block","type_value_Corner taken","type_value_In-swinger","type_value_Shirt Pull/Holding","type_value_Direct","type_value_Foul","type_value_Free kick taken","type_value_Pull Back","type_value_Players caught offside","type_value_Indirect","type_value_Launch","type_value_Shove/push","type_value_Fast Break","type_value_Fast break","type_value_Individual Play","type_value_Out of box-centre","type_value_Hands","type_value_Collected","type_value_Standing","type_value_Keeper Throw","type_value_Attempted Tackle","type_value_Yellow Card","type_value_Flick-on","type_value_Through ball","type_value_Overrun","type_value_High left","type_value_Leading to attempt","type_value_Low right","type_value_Saved off line","type_value_Box-right","type_value_Six yard blocked","type_value_Big Chance","type_value_Last line","type_value_Gk kick from hands","type_value_Small box-right","type_value_Switch of play","type_value_Overhit Cross","type_value_Parried safe","type_value_Reaching","type_value_Fantasy Assist Type","type_value_Fantasy
Assisted By","type_value_From corner","type_value_Assist Team","type_value_Small box- centre","type_value_GK Start","type_value_Stooping","type_value_Swerve Left","type_value_High","type_value_End type","type_value_Right","type_value_Set piece","type_value_Low left","type_value_Hand","type_value_Swerve Right","type_value_Diving","type_value_Tactical","type_value_Position Side ID","type_value_Formation slot","type_value_Detailed Position ID","type_value_Close right","type_value_High centre","type_value_GK hoof","type_value_Hit Bar","type_value_Hit Woodwork","type_value_Follows a Dribble","type_value_Tap","type_value_Blocked cross","type_value_Over-arm","type_value_Game end","value_Team formation","value_Captain","value_Direction of Play","value_Length","value_Pass End Y","value_Pass End X","value_Zone","value_Kick Off","value_Angle","value_Blocked
Pass","value_Offensive","value_Chipped","value_Opposite related event ID","value_Opposite
related
event ID","value_Defensive","value_Throw-in","value_Long ball","value_Head pass","value_Cross","value_Lay-off","value_Assist","value_Intentional
assist","value_Related event ID","value_GK Y Coordinate","value_Assisted","value_Goal mouth y coordinate","value_First Touch","value_GK X blocked","value_Left footed","value_Goal mouth z coordinate","value_Regular play","value_Box-left","value_Left","value_Not visible","value_Low","value_Goal Kick","value_Out of play","value_Head","value_Right footed","value_Blocked y co-ordinate","value_Low centre","value_Blocked","value_Blocked x co-ordinate","value_Box-centre","value_Def block","value_Corner taken","value_In-swinger","value_Shirt Pull/Holding","value_Direct","value_Foul","value_Free kick taken","value_Pull Back","value_Players caught offside","value_Indirect","value_Launch","value_Shove/push","value_Fast Break","value_Fast break","value_Individual Play","value_Out of box-centre","value_Hands","value_Collected","value_Standing","value_Keeper Throw","value_Attempted Tackle","value_Yellow Card","value_Flick-on","value_Through ball","value_Overrun","value_High left","value_Leading to attempt","value_Low right","value_Saved off line","value_Box-right","value_Six yard blocked","value_Big Chance","value_Last line","value_Gk kick from hands","value_Small box-right","value_Switch of play","value_Overhit Cross","value_Parried safe","value_Reaching","value_Fantasy Assist Type","value_Fantasy
Assisted By","value_From corner","value_Assist Team","value_Small box- centre","value_GK Start","value_Stooping","value_Swerve Left","value_High","value_End type","value_Right","value_Set piece","value_Low left","value_Hand","value_Swerve Right","value_Diving","value_Tactical","value_Position Side ID","value_Formation slot","value_Detailed Position ID","value_Close right","value_High centre","value_GK hoof","value_Hit Bar","value_Hit Woodwork","value_Follows a Dribble","value_Tap","value_Blocked cross","value_Over-arm","value_Game end","teamName","h_a","ft","timeStamp","venueName","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
2,0,0,"bop6aslxmwvzsapdxsw3xbvfg",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732822953,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right to Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",1,NA,NA,NA,"Manchester City WFC",0,0,NA,NA,1,1,"FC Barcelona",1
2,0,0,"36tr17foeaf9ejjmt2txuoy3y",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732822951,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left to Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",2,NA,NA,NA,"FC Barcelona",0,0,NA,NA,2,1,"FC Barcelona",2
3,0,0,"bop6aslxmwvzsapdxsw3xbvfg",52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"9hmgd3x5tekj4fnf0zju3i1ud",40.215,31.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732822955,1,"E. Pajor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,279,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.6","46.1","38.3","Back","S","3.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",3,0.01689528,0.01262646,-0.00426882,"Manchester City WFC",-12.3392576222153,0,-167.818318313347,"E. Pajor",3,1,"FC Barcelona",3
784,0,0,"36tr17foeaf9ejjmt2txuoy3y",0,0,"PostGame","End","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732836889,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",4,NA,NA,NA,"FC Barcelona",0,0,NA,NA,4,1,"FC Barcelona",4
923,0,0,"bop6aslxmwvzsapdxsw3xbvfg",0,0,"PostGame","End","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732836887,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",5,NA,NA,NA,"Manchester City WFC",0,0,NA,NA,5,1,"FC Barcelona",5
1,0,0,"36tr17foeaf9ejjmt2txuoy3y",0,0,"PreMatch","FormationSet","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732817627,34,NA,NA,30,44,59,227,197,130,194,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","c6k1w8sothxmc08dbhqjzp1w5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",6,NA,NA,NA,"FC Barcelona",0,0,NA,NA,6,1,"FC Barcelona",6
1,0,0,"bop6aslxmwvzsapdxsw3xbvfg",0,0,"PreMatch","FormationSet","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2732817793,34,NA,NA,30,44,59,227,197,130,194,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5exouoey2r6wtpympr6drg3it",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",7,NA,NA,NA,"Manchester City WFC",0,0,NA,NA,7,1,"FC Barcelona",7
4,0,3,"bop6aslxmwvzsapdxsw3xbvfg",40.215,31.348,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"8h7r4d4z2gjne58xwu3koiok5",39.165,36.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2732822961,1,"K. Walsh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","54.0","37.3","Back",NA,"1.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",8,0.01262646,0.01262646,0,"Manchester City WFC",-1.05190737735052,0,101.059483151896,"K. Walsh",8,1,"FC Barcelona",8
5,0,4,"bop6aslxmwvzsapdxsw3xbvfg",39.165,36.72,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"22zrashyijuh9pnjovqpyl8lx",32.025,33.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2732822963,1,"Patri Guijarro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7","49.6","30.5","Back",NA,"3.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",9,0.01262646,0.01132376,-0.0013027,"Manchester City WFC",-7.0843419120001,0,-157.263995117419,"P. Guijarro",9,1,"FC Barcelona",9
6,0,6,"bop6aslxmwvzsapdxsw3xbvfg",32.34,33.728,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"cvy1q6gtx1gs9ddemdpcf8ded",42.315,36.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2732822965,1,"I. Engen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.2","53.0","40.3","Back",NA,"0.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",10,0.01132376,0.01262646,0.0013027,"Manchester City WFC",9.94232334935021,0,13.0495592549363,"I. Engen",10,1,"FC Barcelona",10
